CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|57,/harrington/6042/lattb.6042.1.tb.xml|57|9,depono,main,main,14,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|58,/harrington/6042/lattb.6042.1.tb.xml|58|5,emo,main,main,5,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|59,/harrington/6042/lattb.6042.1.tb.xml|59|6,voro,main,main,14,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|59,/harrington/6042/lattb.6042.1.tb.xml|59|15,jaceo,main,main,14,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|60,/harrington/6042/lattb.6042.1.tb.xml|60|12,comedo,main,main,14,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|61,/harrington/6042/lattb.6042.1.tb.xml|61|4,sum,main,main,4,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|62,/harrington/6042/lattb.6042.1.tb.xml|62|3,fero,main,main,6,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|63,/harrington/6042/lattb.6042.1.tb.xml|63|2,sum,main,main,13,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|64,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,14,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|64,/harrington/6042/lattb.6042.1.tb.xml|64|5,cum,temporal,hypo,14,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|65,/harrington/6042/lattb.6042.1.tb.xml|65|1,hinc,mixed,para,6,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|66,/harrington/6042/lattb.6042.1.tb.xml|66|1,eo,main,main,9,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|67,/harrington/6042/lattb.6042.1.tb.xml|67|1,duco,main,main,5,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|68,/harrington/6042/lattb.6042.1.tb.xml|68|2,sum,main,main,18,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|68,/harrington/6042/lattb.6042.1.tb.xml|68|11,facio,main,main,18,13223
3,Sati,/harrington/6042/lattb.6042.1.tb.xml|68,/harrington/6042/lattb.6042.1.tb.xml|68|12,cupio,main,main,18,13223
4,Sati,/harrington/6042/lattb.6042.1.tb.xml|68,/harrington/6042/lattb.6042.1.tb.xml|68|20,sto,main,main,18,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|69,/harrington/6042/lattb.6042.1.tb.xml|69|1,utor,main,main,6,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|69,/harrington/6042/lattb.6042.1.tb.xml|69|5,pando,main,main,6,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|70,/harrington/6042/lattb.6042.1.tb.xml|70|2,hic,spatial,para,7,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|70,/harrington/6042/lattb.6042.1.tb.xml|70|1,dico,main,main,7,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|72,/harrington/6042/lattb.6042.1.tb.xml|72|4,audeo,directsp,main,5,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|73,/harrington/6042/lattb.6042.1.tb.xml|73|2,refero,directsp,main,7,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|74,/harrington/6042/lattb.6042.1.tb.xml|74|1,pono,directsp,main,19,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|74,/harrington/6042/lattb.6042.1.tb.xml|74|5,luceo,directsp,main,19,13223
3,Sati,/harrington/6042/lattb.6042.1.tb.xml|74,/harrington/6042/lattb.6042.1.tb.xml|74|20,deduco,directsp,main,19,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|75,/harrington/6042/lattb.6042.1.tb.xml|75|3,ergo,causal,para,13,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|75,/harrington/6042/lattb.6042.1.tb.xml|75|12,illinc,spatial,para,13,13223
3,Sati,/harrington/6042/lattb.6042.1.tb.xml|75,/harrington/6042/lattb.6042.1.tb.xml|75|8,veho,main,main,13,13223
4,Sati,/harrington/6042/lattb.6042.1.tb.xml|75,/harrington/6042/lattb.6042.1.tb.xml|75|13,despicio,main,main,13,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|76,/harrington/6042/lattb.6042.1.tb.xml|76|4,contra,spatial,para,6,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|76,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,6,13223
3,Sati,/harrington/6042/lattb.6042.1.tb.xml|76,/harrington/6042/lattb.6042.1.tb.xml|76|2,cum,temporal,hypo,6,13223
4,Sati,/harrington/6042/lattb.6042.1.tb.xml|76,/harrington/6042/lattb.6042.1.tb.xml|76|7,compesco,main,main,6,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|77,/harrington/6042/lattb.6042.1.tb.xml|77|2,sum,directsp,main,7,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|77,/harrington/6042/lattb.6042.1.tb.xml|77|8,sum,directsp,main,7,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|78,/harrington/6042/lattb.6042.1.tb.xml|78|2,licet,directsp,main,7,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|79,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,quotiens,temporal,hypo,30,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|79,/harrington/6042/lattb.6042.1.tb.xml|79|3,sum,directsp,main,30,13223
3,Sati,/harrington/6042/lattb.6042.1.tb.xml|79,/harrington/6042/lattb.6042.1.tb.xml|79|23,rubeo,directsp,main,30,13223
4,Sati,/harrington/6042/lattb.6042.1.tb.xml|79,/harrington/6042/lattb.6042.1.tb.xml|79|32,sudo,directsp,main,30,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|80,/harrington/6042/lattb.6042.1.tb.xml|80|1,inde,mixed,para,4,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|81,/harrington/6042/lattb.6042.1.tb.xml|81|4,ergo,causal,para,9,13223
2,Sati,/harrington/6042/lattb.6042.1.tb.xml|81,/harrington/6042/lattb.6042.1.tb.xml|81|5,voluto,directsp,main,9,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|82,/harrington/6042/lattb.6042.1.tb.xml|82|4,paeniteo,directsp,main,4,13223
1,Sati,/harrington/6042/lattb.6042.1.tb.xml|83,/harrington/6042/lattb.6042.1.tb.xml|83|1,experior,main,main,11,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|2,/harrington/6043/lattb.6043.1.tb.xml|2|2,enim,causal,para,40,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|2,/harrington/6043/lattb.6043.1.tb.xml|2|16,unknown,spatial,para,40,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|2,/harrington/6043/lattb.6043.1.tb.xml|2|18,roma,spatial,para,40,13223
4,Sati,/harrington/6043/lattb.6043.1.tb.xml|2,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,40,13223
5,Sati,/harrington/6043/lattb.6043.1.tb.xml|2,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,40,13223
6,Sati,/harrington/6043/lattb.6043.1.tb.xml|2,/harrington/6043/lattb.6043.1.tb.xml|2|7,respicio,main,main,40,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|3,/harrington/6043/lattb.6043.1.tb.xml|3|11,amo,main,main,33,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|3,/harrington/6043/lattb.6043.1.tb.xml|3|17,vendo,main,main,33,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|4,/harrington/6043/lattb.6043.1.tb.xml|4|9,video,directsp,main,27,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|4,/harrington/6043/lattb.6043.1.tb.xml|4|13,video,directsp,main,27,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|5,/harrington/6043/lattb.6043.1.tb.xml|5|7,cogo,main,main,17,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|6,/harrington/6043/lattb.6043.1.tb.xml|6|2,ago,main,main,4,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|7,/harrington/6043/lattb.6043.1.tb.xml|7|1,circumspicio,main,main,10,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|7,/harrington/6043/lattb.6043.1.tb.xml|7|3,stimulo,main,main,10,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|7,/harrington/6043/lattb.6043.1.tb.xml|7|10,quaero,main,main,10,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|8,/harrington/6043/lattb.6043.1.tb.xml|8|10,ideo,causal,para,32,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|8,/harrington/6043/lattb.6043.1.tb.xml|8|3,aliunde,spatial,para,32,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|8,/harrington/6043/lattb.6043.1.tb.xml|8|18,posco,main,main,32,13223
4,Sati,/harrington/6043/lattb.6043.1.tb.xml|8,/harrington/6043/lattb.6043.1.tb.xml|8|23,dono,main,main,32,13223
5,Sati,/harrington/6043/lattb.6043.1.tb.xml|8,/harrington/6043/lattb.6043.1.tb.xml|8|31,cludo,main,main,32,13223
6,Sati,/harrington/6043/lattb.6043.1.tb.xml|8,/harrington/6043/lattb.6043.1.tb.xml|8|35,pertundo,main,main,32,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|9,/harrington/6043/lattb.6043.1.tb.xml|9|1,frango,main,main,21,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|9,/harrington/6043/lattb.6043.1.tb.xml|9|7,deleo,main,main,21,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|11,/harrington/6043/lattb.6043.1.tb.xml|11|1,disco,main,main,14,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|12,/harrington/6043/lattb.6043.1.tb.xml|12|2,defluo,main,main,10,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|13,/harrington/6043/lattb.6043.1.tb.xml|13|2,tunc,temporal,para,16,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|13,/harrington/6043/lattb.6043.1.tb.xml|13|6,tunc,temporal,para,16,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|13,/harrington/6043/lattb.6043.1.tb.xml|13|3,subeo,main,main,16,13223
4,Sati,/harrington/6043/lattb.6043.1.tb.xml|13,/harrington/6043/lattb.6043.1.tb.xml|13|12,odi,main,main,16,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|14,/harrington/6043/lattb.6043.1.tb.xml|14|2,nunc,temporal,para,3,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|14,/harrington/6043/lattb.6043.1.tb.xml|14|1,accipio,main,main,3,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|15,/harrington/6043/lattb.6043.1.tb.xml|15|17,facio,main,main,32,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|15,/harrington/6043/lattb.6043.1.tb.xml|15|21,cedo,main,main,32,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|15,/harrington/6043/lattb.6043.1.tb.xml|15|35,commodo,main,main,32,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|16,/harrington/6043/lattb.6043.1.tb.xml|16|6,jubeo,main,main,12,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|17,/harrington/6043/lattb.6043.1.tb.xml|17|1,scio,main,main,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|18,/harrington/6043/lattb.6043.1.tb.xml|18|2,do,main,main,19,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|19,/harrington/6043/lattb.6043.1.tb.xml|19|4,ago,main,main,15,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|19,/harrington/6043/lattb.6043.1.tb.xml|19|10,duco,main,main,15,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|19,/harrington/6043/lattb.6043.1.tb.xml|19|14,verso,main,main,15,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|20,/harrington/6043/lattb.6043.1.tb.xml|20|6,teneo,main,main,18,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|20,/harrington/6043/lattb.6043.1.tb.xml|20|12,teneo,main,main,18,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|20,/harrington/6043/lattb.6043.1.tb.xml|20|22,senesco,main,main,18,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|21,/harrington/6043/lattb.6043.1.tb.xml|21|38,facio,main,main,42,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|22,/harrington/6043/lattb.6043.1.tb.xml|22|3,enim,causal,para,22,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|22,/harrington/6043/lattb.6043.1.tb.xml|22|18,quo,spatial,hypo,22,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|22,/harrington/6043/lattb.6043.1.tb.xml|22|10,possum,main,main,22,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|23,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,6,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|23,/harrington/6043/lattb.6043.1.tb.xml|23|3,cum,temporal,hypo,6,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|23,/harrington/6043/lattb.6043.1.tb.xml|23|2,sum,main,main,6,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|26,/harrington/6043/lattb.6043.1.tb.xml|26|10,cado,main,main,18,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|26,/harrington/6043/lattb.6043.1.tb.xml|26|18,gemo,main,main,18,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|27,/harrington/6043/lattb.6043.1.tb.xml|27|1,posco,main,main,16,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|28,/harrington/6043/lattb.6043.1.tb.xml|28|2,habeo,main,main,23,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|28,/harrington/6043/lattb.6043.1.tb.xml|28|12,habeo,main,main,23,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|28,/harrington/6043/lattb.6043.1.tb.xml|28|16,desum,main,main,23,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|29,/harrington/6043/lattb.6043.1.tb.xml|29|1,consto,main,main,10,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|29,/harrington/6043/lattb.6043.1.tb.xml|29|7,capio,main,main,10,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|30,/harrington/6043/lattb.6043.1.tb.xml|30|3,jaceo,main,main,20,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|30,/harrington/6043/lattb.6043.1.tb.xml|30|17,sum,main,main,20,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|31,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,16,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|31,/harrington/6043/lattb.6043.1.tb.xml|31|11,cum,temporal,hypo,16,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|31,/harrington/6043/lattb.6043.1.tb.xml|31|1,curro,main,main,16,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|32,/harrington/6043/lattb.6043.1.tb.xml|32|4,afficio,main,main,11,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|32,/harrington/6043/lattb.6043.1.tb.xml|32|11,audio,main,main,11,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|33,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,12,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|33,/harrington/6043/lattb.6043.1.tb.xml|33|2,cum,temporal,hypo,12,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|33,/harrington/6043/lattb.6043.1.tb.xml|33|6,ex-surio,main,main,12,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|34,/harrington/6043/lattb.6043.1.tb.xml|34|10,circumligo,main,main,11,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|35,/harrington/6043/lattb.6043.1.tb.xml|35|6,do,main,main,6,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|36,/harrington/6043/lattb.6043.1.tb.xml|36|10,curo,main,main,9,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|37,/harrington/6043/lattb.6043.1.tb.xml|37|3,facio,main,main,5,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|38,/harrington/6043/lattb.6043.1.tb.xml|38|3,invideo,main,main,7,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|39,/harrington/6043/lattb.6043.1.tb.xml|39|6,nunc,temporal,para,16,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|39,/harrington/6043/lattb.6043.1.tb.xml|39|15,iterum,temporal,para,16,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|39,/harrington/6043/lattb.6043.1.tb.xml|39|7,sum,main,main,16,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|40,/harrington/6043/lattb.6043.1.tb.xml|40|6,tunc,temporal,para,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|41,/harrington/6043/lattb.6043.1.tb.xml|41|2,porro,mixed,para,6,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|42,/harrington/6043/lattb.6043.1.tb.xml|42|2,hic,spatial,para,7,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|42,/harrington/6043/lattb.6043.1.tb.xml|42|1,pereo,main,main,7,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|43,/harrington/6043/lattb.6043.1.tb.xml|43|6,surgo,main,main,12,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|43,/harrington/6043/lattb.6043.1.tb.xml|43|9,cresco,main,main,12,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|44,/harrington/6043/lattb.6043.1.tb.xml|44|5,jubeo,main,main,8,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|45,/harrington/6043/lattb.6043.1.tb.xml|45|3,inde,mixed,para,4,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|47,/harrington/6043/lattb.6043.1.tb.xml|47|2,do,main,main,7,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|49,/harrington/6043/lattb.6043.1.tb.xml|49|2,igitur,causal,para,13,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|49,/harrington/6043/lattb.6043.1.tb.xml|49|1,dico,main,main,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|50,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,23,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|50,/harrington/6043/lattb.6043.1.tb.xml|50|7,cum,temporal,hypo,23,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|50,/harrington/6043/lattb.6043.1.tb.xml|50|3,sono,main,main,23,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|51,/harrington/6043/lattb.6043.1.tb.xml|51|1,tunc,temporal,para,9,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|51,/harrington/6043/lattb.6043.1.tb.xml|51|4,spiro,main,main,9,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|51,/harrington/6043/lattb.6043.1.tb.xml|51|7,conspuo,main,main,9,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|52,/harrington/6043/lattb.6043.1.tb.xml|52|7,hinc,mixed,para,15,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|52,/harrington/6043/lattb.6043.1.tb.xml|52|16,pono,main,main,15,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|53,/harrington/6043/lattb.6043.1.tb.xml|53|1,consido,main,main,12,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|53,/harrington/6043/lattb.6043.1.tb.xml|53|4,surgo,main,main,12,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|54,/harrington/6043/lattb.6043.1.tb.xml|54|1,rumpo,main,main,12,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|57,/harrington/6043/lattb.6043.1.tb.xml|57|10,inde,mixed,para,13,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|57,/harrington/6043/lattb.6043.1.tb.xml|57|11,cado,main,main,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|58,/harrington/6043/lattb.6043.1.tb.xml|58|3,do,main,main,8,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|58,/harrington/6043/lattb.6043.1.tb.xml|58|10,ago,main,main,8,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|59,/harrington/6043/lattb.6043.1.tb.xml|59|2,enim,causal,para,23,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|59,/harrington/6043/lattb.6043.1.tb.xml|59|3,sto,main,main,23,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|59,/harrington/6043/lattb.6043.1.tb.xml|59|19,minor,main,main,23,13223
4,Sati,/harrington/6043/lattb.6043.1.tb.xml|59,/harrington/6043/lattb.6043.1.tb.xml|59|23,meditor,main,main,23,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|60,/harrington/6043/lattb.6043.1.tb.xml|60|3,conturbo,main,main,33,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|60,/harrington/6043/lattb.6043.1.tb.xml|60|6,deficio,main,main,33,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|60,/harrington/6043/lattb.6043.1.tb.xml|60|10,sum,main,main,33,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|61,/harrington/6043/lattb.6043.1.tb.xml|61|2,enim,causal,para,6,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|61,/harrington/6043/lattb.6043.1.tb.xml|61|1,spondeo,main,main,6,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|62,/harrington/6043/lattb.6043.1.tb.xml|62|3,sum,main,main,6,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|63,/harrington/6043/lattb.6043.1.tb.xml|63|2,vendo,main,main,5,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|63,/harrington/6043/lattb.6043.1.tb.xml|63|5,vendo,main,main,5,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|64,/harrington/6043/lattb.6043.1.tb.xml|64|1,convenio,main,main,16,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|64,/harrington/6043/lattb.6043.1.tb.xml|64|15,servo,main,main,16,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|65,/harrington/6043/lattb.6043.1.tb.xml|65|1,fido,main,main,2,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|66,/harrington/6043/lattb.6043.1.tb.xml|66|4,nunc,temporal,para,11,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|66,/harrington/6043/lattb.6043.1.tb.xml|66|5,do,main,main,11,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|67,/harrington/6043/lattb.6043.1.tb.xml|67|1,respicio,main,main,18,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|68,/harrington/6043/lattb.6043.1.tb.xml|68|1,ideo,causal,para,13,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|68,/harrington/6043/lattb.6043.1.tb.xml|68|8,ideo,causal,para,13,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|68,/harrington/6043/lattb.6043.1.tb.xml|68|4,ago,main,main,13,13223
4,Sati,/harrington/6043/lattb.6043.1.tb.xml|68,/harrington/6043/lattb.6043.1.tb.xml|68|12,ago,main,main,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|70,/harrington/6043/lattb.6043.1.tb.xml|70|2,licet,main,main,6,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|71,/harrington/6043/lattb.6043.1.tb.xml|71|5,fero,main,main,5,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|72,/harrington/6043/lattb.6043.1.tb.xml|72|1,accipio,main,main,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|73,/harrington/6043/lattb.6043.1.tb.xml|73|2,doceo,main,main,2,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|74,file:///C:/Users/matth/Documents/GitHub/ma_thesis_23-24/agldt_search.xqm||,cum,temporal,hypo,10,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|74,/harrington/6043/lattb.6043.1.tb.xml|74|6,cum,temporal,hypo,10,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|75,/harrington/6043/lattb.6043.1.tb.xml|75|10,perfero,main,main,14,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|75,/harrington/6043/lattb.6043.1.tb.xml|75|13,canto,main,main,14,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|76,/harrington/6043/lattb.6043.1.tb.xml|76|1,occido,main,main,5,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|77,/harrington/6043/lattb.6043.1.tb.xml|77|20,volo,main,main,22,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|78,/harrington/6043/lattb.6043.1.tb.xml|78|3,appello,directsp,main,2,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|79,/harrington/6043/lattb.6043.1.tb.xml|79|2,enim,causal,para,3,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|79,/harrington/6043/lattb.6043.1.tb.xml|79|3,scio,directsp,main,3,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|80,/harrington/6043/lattb.6043.1.tb.xml|80|7,qui,causal,hypo,44,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|80,/harrington/6043/lattb.6043.1.tb.xml|80|35,peto,main,main,44,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|80,/harrington/6043/lattb.6043.1.tb.xml|80|46,circumago,main,main,44,13223
4,Sati,/harrington/6043/lattb.6043.1.tb.xml|80,/harrington/6043/lattb.6043.1.tb.xml|80|5,arguo,directsp,main,44,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|81,/harrington/6043/lattb.6043.1.tb.xml|81|2,volo,directsp,main,13,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|81,/harrington/6043/lattb.6043.1.tb.xml|81|6,accipio,directsp,main,13,13223
3,Sati,/harrington/6043/lattb.6043.1.tb.xml|81,/harrington/6043/lattb.6043.1.tb.xml|81|9,do,directsp,main,13,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|82,/harrington/6043/lattb.6043.1.tb.xml|82|7,conclamo,main,main,15,13223
2,Sati,/harrington/6043/lattb.6043.1.tb.xml|82,/harrington/6043/lattb.6043.1.tb.xml|82|12,agito,main,main,15,13223
1,Sati,/harrington/6043/lattb.6043.1.tb.xml|83,/harrington/6043/lattb.6043.1.tb.xml|83|3,sileo,main,main,14,13223
