CASE,WORK,SENT-ADDR,TOK-ADDR,LEM,TYPEA,TYPEB,SENTLEN,WORKLEN
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15|14,semper,temporal,para,14,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15|2,remaneo,main,main,14,4393
3,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|15|10,sum,main,main,14,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16|6,exerceo,main,main,13,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|16|13,deficio,main,main,13,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17|5,vito,main,main,4,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|17|3,moneo,parenth,main,4,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18|3,moror,main,main,9,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|18|8,muto,main,main,9,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|19,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|19|10,refero,main,main,13,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20|2,juvo,main,main,36,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|20|44,juvo,main,main,36,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21|7,sum,main,main,8,4393
2,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|21|1,credo,parenth,main,8,4393
1,Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|22,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|22|5,amo,main,main,6,4393
